ds,y
2019-01-02,85.8
2019-01-03,85.5
2019-01-04,83.5
2019-01-05,79.2
2019-01-06,76.6
2019-01-07,71.1
2019-01-08,69.0
2019-01-09,89.2
2019-01-10,92.8
2019-01-11,79.5
2019-01-12,92.6
2019-01-13,89.4
2019-01-14,82.2
2019-01-15,77.8
2019-01-16,111.8
2019-01-17,115.6
2019-01-18,117.9
2019-01-19,121.9
2019-01-20,121.7
2019-01-21,112.2
2019-01-22,108.0
2019-01-23,109.3
2019-01-24,111.9
2019-01-25,114.2
2019-01-26,112.7
2019-01-27,105.0
2019-01-28,100.5
2019-01-29,96.4
2019-01-30,41.8
2019-01-31,43.1
2019-02-02,42.9
2019-02-03,44.9
2019-02-04,43.8
2019-02-05,43.5
2019-02-06,44.1
2019-02-07,60.3
2019-02-08,63.2
2019-02-09,68.4
2019-02-10,67.6
2019-02-11,69.0
2019-02-12,64.8
2019-02-13,61.2
2019-02-14,71.8
2019-02-15,71.7
2019-02-16,72.7
2019-02-17,71.6
2019-02-18,71.3
2019-02-19,69.2
2019-02-20,67.0
2019-02-21,111.8
2019-02-22,114.9
2019-02-23,121.6
2019-02-24,128.1
2019-02-25,131.6
2019-02-26,132.2
2019-02-27,132.7
2019-02-28,69.0
2019-03-02,72.1
2019-03-03,71.8
2019-03-04,71.1
2019-03-05,73.0
2019-03-06,68.0
2019-03-07,67.3
2019-03-08,111.7
2019-03-09,121.6
2019-03-10,128.0
2019-03-11,132.7
2019-03-12,132.6
2019-03-13,129.7
2019-03-14,113.9
2019-03-15,57.8
2019-03-16,51.2
2019-03-17,58.4
2019-03-18,63.0
2019-03-19,66.1
2019-03-20,69.6
2019-03-21,68.3
2019-03-22,62.5
2019-03-23,63.5
2019-03-24,62.6
2019-03-25,62.4
2019-03-26,63.5
2019-03-27,60.4
2019-03-28,57.2
2019-03-29,61.7
2019-03-30,64.3
2019-03-31,65.9
2019-04-02,67.4
2019-04-03,71.8
2019-04-04,73.9
2019-04-05,69.1
2019-04-06,61.4
2019-04-07,64.1
2019-04-08,66.1
2019-04-09,66.1
2019-04-10,65.4
2019-04-11,63.0
2019-04-12,60.2
2019-04-13,123.2
2019-04-14,126.1
2019-04-15,135.1
2019-04-16,135.2
2019-04-17,133.5
2019-04-18,136.7
2019-04-19,136.0
2019-04-20,63.9
2019-04-21,63.6
2019-04-22,63.8
2019-04-23,62.5
2019-04-24,63.8
2019-04-25,60.3
2019-04-26,57.9
2019-04-27,74.2
2019-04-28,76.9
2019-04-29,76.9
2019-04-30,79.2
2019-05-02,82.0
2019-05-03,80.4
2019-05-04,78.0
2019-05-05,98.5
2019-05-06,99.3
2019-05-07,102.4
2019-05-08,102.6
2019-05-09,100.9
2019-05-10,94.6
2019-05-11,84.7
2019-05-12,116.6
2019-05-13,129.0
2019-05-14,130.4
2019-05-15,115.2
2019-05-16,109.3
2019-05-17,100.7
2019-05-18,98.9
2019-05-19,91.9
2019-05-20,99.3
2019-05-21,106.7
2019-05-22,111.4
2019-05-23,109.7
2019-05-24,103.2
2019-05-25,98.7
2019-05-26,46.1
2019-05-27,48.7
2019-05-28,46.0
2019-05-29,46.1
2019-05-30,44.1
2019-05-31,44.4
2019-06-02,42.4
2019-06-03,78.4
2019-06-04,75.9
2019-06-05,74.2
2019-06-06,75.9
2019-06-07,76.0
2019-06-08,69.1
2019-06-09,60.8
2019-06-10,67.9
2019-06-11,67.7
2019-06-12,70.8
2019-06-13,70.4
2019-06-14,72.5
2019-06-15,58.6
2019-06-16,63.7
2019-06-17,102.8
2019-06-18,110.8
2019-06-19,114.0
2019-06-20,114.5
2019-06-21,105.5
2019-06-22,109.2
2019-06-23,99.9
2019-06-24,77.7
2019-06-25,75.9
2019-06-26,76.6
2019-06-27,75.0
2019-06-28,76.0
2019-06-29,71.4
2019-06-30,60.3
2019-07-01,103.8
2019-07-02,110.9
2019-07-03,117.8
2019-07-04,115.7
2019-07-05,117.0
2019-07-06,110.1
2019-07-07,102.1
2019-07-08,57.8
2019-07-08,59.9
2019-07-09,56.8
2019-07-09,58.6
2019-07-10,59.9
2019-07-10,59.5
2019-07-11,61.5
2019-07-11,62.2
2019-07-12,62.6
2019-07-12,63.6
2019-07-13,63.4
2019-07-14,64.0
2019-07-15,60.4
2019-07-16,58.0
