ds,y
2019-01-02,319.5
2019-01-03,316.7
2019-01-04,301.9
2019-01-05,313.2
2019-01-06,320.7
2019-01-07,319.4
2019-01-08,307.9
2019-01-09,260.0
2019-01-10,268.3
2019-01-11,275.0
2019-01-12,294.1
2019-01-13,301.2
2019-01-14,305.6
2019-01-15,290.5
2019-01-16,299.5
2019-01-17,282.0
2019-01-18,269.1
2019-01-19,260.2
2019-01-20,273.8
2019-01-21,276.7
2019-01-22,263.5
2019-01-23,391.4
2019-01-24,385.3
2019-01-25,380.2
2019-01-26,380.6
2019-01-27,379.4
2019-01-28,377.9
2019-01-29,362.8
2019-01-30,203.5
2019-01-31,212.0
2019-02-02,217.1
2019-02-03,221.5
2019-02-04,224.0
2019-02-05,229.7
2019-02-06,232.2
2019-02-07,215.2
2019-02-08,229.6
2019-02-09,234.9
2019-02-10,261.5
2019-02-11,282.1
2019-02-12,278.5
2019-02-13,261.9
2019-02-14,317.3
2019-02-15,322.3
2019-02-16,321.8
2019-02-17,326.9
2019-02-18,322.6
2019-02-19,319.9
2019-02-20,312.3
2019-02-21,385.7
2019-02-22,391.1
2019-02-23,389.9
2019-02-24,394.1
2019-02-25,392.8
2019-02-26,393.0
2019-02-27,376.2
2019-02-28,332.4
2019-03-02,338.0
2019-03-03,330.5
2019-03-04,327.8
2019-03-05,330.4
2019-03-06,324.0
2019-03-07,316.4
2019-03-08,319.9
2019-03-09,313.0
2019-03-10,302.4
2019-03-11,305.7
2019-03-12,316.9
2019-03-13,323.9
2019-03-14,300.1
2019-03-15,277.2
2019-03-16,286.2
2019-03-17,291.0
2019-03-18,294.3
2019-03-19,296.2
2019-03-20,292.6
2019-03-21,295.5
2019-03-22,334.9
2019-03-23,339.2
2019-03-24,336.5
2019-03-25,334.7
2019-03-26,336.7
2019-03-27,333.5
2019-03-28,318.3
2019-03-29,351.5
2019-03-30,355.6
2019-03-31,357.6
2019-04-02,364.6
2019-04-03,366.5
2019-04-04,366.4
2019-04-05,350.5
2019-04-06,326.2
2019-04-07,319.2
2019-04-08,314.6
2019-04-09,314.6
2019-04-10,322.6
2019-04-11,322.6
2019-04-12,319.7
2019-04-13,340.6
2019-04-14,334.7
2019-04-15,330.8
2019-04-16,340.2
2019-04-17,331.8
2019-04-18,328.2
2019-04-19,319.5
2019-04-20,356.3
2019-04-21,354.7
2019-04-22,347.2
2019-04-23,344.5
2019-04-24,362.0
2019-04-25,361.6
2019-04-26,346.4
2019-04-27,326.4
2019-04-28,329.8
2019-04-29,325.4
2019-04-30,324.4
2019-05-02,320.9
2019-05-03,317.6
2019-05-04,306.7
2019-05-05,317.2
2019-05-06,320.5
2019-05-07,312.7
2019-05-08,306.6
2019-05-09,289.4
2019-05-10,279.2
2019-05-11,257.9
2019-05-12,342.2
2019-05-13,355.4
2019-05-14,354.3
2019-05-15,346.8
2019-05-16,338.8
2019-05-17,334.6
2019-05-18,314.9
2019-05-19,381.2
2019-05-20,359.9
2019-05-21,379.2
2019-05-22,387.3
2019-05-23,392.9
2019-05-24,389.6
2019-05-25,375.4
2019-05-26,282.4
2019-05-27,291.0
2019-05-28,263.0
2019-05-29,238.2
2019-05-30,207.5
2019-05-31,192.3
2019-06-02,201.7
2019-06-03,351.2
2019-06-04,347.8
2019-06-05,337.8
2019-06-06,327.4
2019-06-07,312.7
2019-06-08,279.0
2019-06-09,233.3
2019-06-10,333.9
2019-06-11,329.3
2019-06-12,327.6
2019-06-13,327.4
2019-06-14,322.5
2019-06-15,297.7
2019-06-16,300.2
2019-06-17,382.1
2019-06-18,387.9
2019-06-19,384.3
2019-06-20,391.1
2019-06-21,388.3
2019-06-22,384.8
2019-06-23,372.0
2019-06-24,324.8
2019-06-25,327.1
2019-06-26,329.1
2019-06-27,337.6
2019-06-28,341.5
2019-06-29,339.1
2019-06-30,312.7
2019-07-01,300.2
2019-07-02,307.4
2019-07-03,312.7
2019-07-04,313.2
2019-07-05,313.4
2019-07-06,287.5
2019-07-07,290.3
2019-07-08,261.3
2019-07-08,265.8
2019-07-09,268.0
2019-07-09,275.8
2019-07-10,278.9
2019-07-10,280.6
2019-07-11,316.8
2019-07-11,275.4
2019-07-12,318.5
2019-07-12,318.6
2019-07-13,326.4
2019-07-14,334.4
2019-07-15,331.3
2019-07-16,321.7
2019-07-17,342.9
2019-07-18,341.0
2019-07-19,326.8
2019-07-20,256.6
2019-07-21,300.0
2019-07-22,333.3
2019-07-23,333.7
2019-07-24,324.5
2019-07-25,327.9
2019-07-26,329.9
2019-07-27,335.8
2019-07-28,335.9
2019-07-29,328.5
2019-07-30,313.7
2019-07-31,330.9
2019-08-01,316.1
2019-08-02,319.2
2019-08-03,338.8
2019-08-04,352.0
2019-08-05,354.3
2019-08-06,335.9
2019-08-08,299.7
2019-08-09,303.5
2019-08-10,307.0
2019-08-11,308.6
2019-08-12,316.6
2019-08-13,317.1
2019-08-14,315.2
2019-08-15,352.8
2019-08-16,353.0
2019-08-17,356.3
2019-08-18,363.5
2019-08-19,334.7
2019-08-20,349.9
2019-08-21,341.7
2019-08-22,307.5
2019-08-23,309.1
2019-08-24,316.4
2019-08-25,329.4
2019-08-26,332.8
2019-08-27,329.7
2019-08-28,316.0
2019-08-29,301.1
2019-08-30,311.6
2019-08-31,316.1
2019-09-01,320.2
2019-09-02,321.0
2019-09-03,314.9
2019-09-04,294.1
2019-09-05,338.0
2019-09-06,349.9
2019-09-08,355.9
2019-09-09,364.5
2019-09-10,362.3
2019-09-11,357.9
2019-09-12,362.2
2019-09-13,368.8
2019-09-14,372.6
2019-09-15,379.3
2019-09-16,390.7
2019-09-17,387.4
2019-09-18,339.6
2019-09-19,379.8
2019-09-20,359.3
2019-09-21,335.8
2019-09-22,355.9
2019-09-23,358.8
2019-09-24,367.5
2019-09-25,363.6
2019-09-26,341.8
2019-09-27,348.0
2019-09-28,357.3
2019-09-29,360.1
2019-09-30,364.7
2019-10-01,362.1
2019-10-02,343.1
2019-10-03,256.6
2019-10-04,282.7
2019-10-05,316.4
2019-10-06,327.5
2019-10-08,329.8
2019-10-09,329.0
2019-10-10,321.9
2019-10-11,378.4
2019-10-12,378.9
2019-10-13,376.5
2019-10-14,377.8
2019-10-15,374.3
2019-10-16,371.8
2019-10-17,360.5
2019-10-18,324.1
2019-10-19,257.6
2019-10-20,273.3
2019-10-21,309.7
2019-10-22,322.9
2019-10-23,322.1
2019-10-24,313.5
2019-10-25,270.6
2019-10-26,292.7
2019-10-27,293.4
2019-10-28,231.5
2019-10-29,258.5
2019-10-30,281.8
2019-10-31,282.4
2019-11-01,249.5
2019-11-02,260.7
2019-11-03,263.5
2019-11-04,261.7
2019-11-05,264.5
2019-11-06,269.0
2019-11-08,263.7
2019-11-09,308.7
2019-11-10,314.2
2019-11-11,314.5
2019-11-12,309.8
2019-11-13,307.0
2019-11-14,313.7
2019-11-15,299.7
2019-11-16,333.7
2019-11-17,334.4
2019-11-18,330.9
2019-11-19,332.3
2019-11-20,334.5
2019-11-21,334.3
2019-11-22,327.0
2019-11-23,316.8
2019-11-24,323.4
2019-11-25,324.3
2019-11-26,328.1
2019-11-27,324.4
2019-11-28,320.9
2019-11-29,311.7
2019-11-30,398.0
2019-12-01,398.0
2019-12-02,368.3
2019-12-03,302.6
2019-12-04,328.7
2019-12-05,342.9
2019-12-06,325.4
2019-12-08,299.7
2019-12-09,305.2
2019-12-10,305.5
2019-12-11,301.9
2019-12-12,303.4
2019-12-13,306.3
2019-12-14,306.5
2019-12-15,329.0
2019-12-16,343.5
2019-12-17,341.0
2019-12-18,348.6
2019-12-19,348.7
2019-12-20,347.0
2019-12-21,335.0
