ds,y
2019-01-02,268.3
2019-01-03,285.2
2019-01-04,270.3
2019-01-05,286.8
2019-01-06,298.3
2019-01-07,294.2
2019-01-08,279.2
2019-01-09,280.4
2019-01-10,290.8
2019-01-11,270.5
2019-01-12,298.4
2019-01-13,314.1
2019-01-14,305.9
2019-01-15,288.7
2019-01-16,301.4
2019-01-17,313.9
2019-01-18,321.5
2019-01-19,325.8
2019-01-20,325.4
2019-01-21,311.5
2019-01-22,295.3
2019-01-23,340.6
2019-01-24,332.7
2019-01-25,298.4
2019-01-26,330.0
2019-01-27,347.2
2019-01-28,346.6
2019-01-29,329.5
2019-01-30,242.7
2019-01-31,244.1
2019-02-02,245.2
2019-02-03,243.9
2019-02-04,246.5
2019-02-05,250.2
2019-02-06,250.6
2019-02-07,201.2
2019-02-08,218.6
2019-02-09,221.8
2019-02-10,230.7
2019-02-11,245.8
2019-02-12,253.6
2019-02-13,243.0
2019-02-14,295.0
2019-02-15,297.2
2019-02-16,304.7
2019-02-17,301.5
2019-02-18,302.2
2019-02-19,294.6
2019-02-20,282.4
2019-02-21,345.5
2019-02-22,356.2
2019-02-23,345.2
2019-02-24,349.5
2019-02-25,343.0
2019-02-26,336.8
2019-02-27,313.7
2019-02-28,296.7
2019-03-02,307.0
2019-03-03,302.4
2019-03-04,308.0
2019-03-05,314.3
2019-03-06,306.3
2019-03-07,282.7
2019-03-08,284.8
2019-03-09,302.4
2019-03-10,312.0
2019-03-11,310.8
2019-03-12,307.0
2019-03-13,303.6
2019-03-14,278.7
2019-03-15,228.7
2019-03-16,230.9
2019-03-17,236.3
2019-03-18,221.8
2019-03-19,228.8
2019-03-20,234.4
2019-03-21,245.3
2019-03-22,269.1
2019-03-23,280.8
2019-03-24,280.3
2019-03-25,265.8
2019-03-26,264.7
2019-03-27,250.0
2019-03-28,211.8
2019-03-29,345.9
2019-03-30,341.9
2019-03-31,350.1
2019-04-02,346.0
2019-04-03,351.1
2019-04-04,349.3
2019-04-05,327.0
2019-04-06,318.5
2019-04-07,327.6
2019-04-08,332.8
2019-04-09,335.5
2019-04-10,340.9
2019-04-11,334.6
2019-04-12,312.9
2019-04-13,329.9
2019-04-14,347.7
2019-04-15,330.3
2019-04-16,334.0
2019-04-17,337.3
2019-04-18,339.7
2019-04-19,319.5
2019-04-20,311.6
2019-04-21,323.8
2019-04-22,325.6
2019-04-23,328.3
2019-04-24,329.1
2019-04-25,326.4
2019-04-26,302.8
2019-04-27,277.7
2019-04-28,285.9
2019-04-29,261.1
2019-04-30,272.4
2019-05-02,271.4
2019-05-03,276.3
2019-05-04,259.2
2019-05-05,280.4
2019-05-06,282.4
2019-05-07,282.3
2019-05-08,280.9
2019-05-09,293.5
2019-05-10,291.6
2019-05-11,274.7
2019-05-12,297.9
2019-05-13,299.0
2019-05-14,312.3
2019-05-15,312.5
2019-05-16,300.7
2019-05-17,305.3
2019-05-18,284.4
2019-05-19,324.7
2019-05-20,323.2
2019-05-21,337.7
2019-05-22,342.2
2019-05-23,352.2
2019-05-24,352.2
2019-05-25,325.7
2019-05-26,276.5
2019-05-27,302.6
2019-05-28,290.7
2019-05-29,256.3
2019-05-30,245.9
2019-05-31,244.7
2019-06-02,244.5
2019-06-03,253.7
2019-06-04,257.5
2019-06-05,262.0
2019-06-06,259.4
2019-06-07,266.0
2019-06-08,241.5
2019-06-09,195.7
2019-06-10,278.2
2019-06-11,281.6
2019-06-12,289.8
2019-06-13,294.9
2019-06-14,298.9
2019-06-15,283.2
2019-06-16,272.9
2019-06-17,348.9
2019-06-18,359.7
2019-06-19,364.0
2019-06-20,365.3
2019-06-21,355.5
2019-06-22,351.6
2019-06-23,328.3
2019-06-24,283.0
2019-06-25,294.0
2019-06-26,297.4
2019-06-27,302.3
2019-06-28,300.3
2019-06-29,299.5
2019-06-30,270.3
2019-07-01,282.0
2019-07-02,281.3
2019-07-03,283.3
2019-07-04,279.8
2019-07-05,284.2
2019-07-06,284.2
2019-07-07,261.3
2019-07-08,253.7
2019-07-08,255.6
2019-07-09,255.0
2019-07-09,260.5
2019-07-10,261.7
2019-07-10,260.8
2019-07-11,282.8
2019-07-11,259.0
2019-07-12,291.4
2019-07-12,290.2
2019-07-13,279.1
2019-07-14,273.6
2019-07-15,267.5
2019-07-16,244.6
2019-07-17,338.2
2019-07-18,348.0
2019-07-19,349.7
2019-07-20,339.8
2019-07-21,347.6
2019-07-22,349.2
2019-07-23,328.1
2019-07-24,319.7
2019-07-25,330.9
2019-07-26,326.0
2019-07-27,323.0
2019-07-28,321.0
2019-07-29,318.7
2019-07-30,294.7
2019-07-31,347.5
2019-08-01,354.1
2019-08-02,355.5
2019-08-03,348.5
2019-08-04,336.7
2019-08-05,336.7
2019-08-06,310.1
2019-08-08,277.3
2019-08-09,270.5
2019-08-10,274.7
2019-08-11,296.7
2019-08-12,302.2
2019-08-13,306.5
2019-08-14,311.9
2019-08-15,311.3
2019-08-16,317.5
2019-08-17,321.5
2019-08-18,319.1
2019-08-19,314.8
2019-08-20,316.4
2019-08-21,291.0
2019-08-22,255.2
2019-08-23,266.2
2019-08-24,270.6
2019-08-25,274.3
2019-08-26,281.8
2019-08-27,268.8
2019-08-28,254.8
2019-08-29,276.8
2019-08-30,274.6
2019-08-31,282.1
2019-09-01,277.0
2019-09-02,287.2
2019-09-03,282.9
2019-09-04,264.6
2019-09-05,337.6
2019-09-06,346.2
2019-09-08,347.2
2019-09-09,345.6
2019-09-10,348.3
2019-09-11,339.8
2019-09-12,303.6
2019-09-13,312.7
2019-09-14,324.5
2019-09-15,318.3
2019-09-16,308.9
2019-09-17,291.4
2019-09-18,282.4
2019-09-19,352.6
2019-09-20,362.1
2019-09-21,360.3
2019-09-22,306.4
2019-09-23,329.0
2019-09-24,330.5
2019-09-25,304.2
2019-09-26,301.2
2019-09-27,292.1
2019-09-28,282.1
2019-09-29,266.3
2019-09-30,276.9
2019-10-01,264.2
2019-10-02,249.8
2019-10-03,275.1
2019-10-04,240.3
2019-10-05,227.9
2019-10-06,238.1
2019-10-08,265.1
2019-10-09,268.0
2019-10-10,264.6
2019-10-11,341.5
2019-10-12,344.4
2019-10-13,339.4
2019-10-14,343.8
2019-10-15,348.3
2019-10-16,335.7
2019-10-17,320.9
2019-10-18,294.7
2019-10-19,287.0
2019-10-20,238.5
2019-10-21,227.2
2019-10-22,246.6
2019-10-23,262.1
2019-10-24,246.7
2019-10-25,306.7
2019-10-26,312.4
2019-10-27,306.8
2019-10-28,286.0
2019-10-29,301.6
2019-10-30,272.1
2019-10-31,260.2
2019-11-01,228.2
2019-11-02,239.1
2019-11-03,243.8
2019-11-04,248.2
2019-11-05,252.5
2019-11-06,254.9
2019-11-08,259.0
2019-11-09,286.3
2019-11-10,293.5
2019-11-11,295.1
2019-11-12,297.1
2019-11-13,288.3
2019-11-14,273.6
2019-11-15,260.2
2019-11-16,340.7
2019-11-17,343.0
2019-11-18,340.0
2019-11-19,341.4
2019-11-20,340.8
2019-11-21,339.5
2019-11-22,313.3
2019-11-23,301.7
2019-11-24,309.9
2019-11-25,310.6
2019-11-26,313.9
2019-11-27,321.4
2019-11-28,315.8
2019-11-29,301.0
2019-11-30,327.3
2019-12-01,332.0
2019-12-02,337.6
2019-12-03,338.7
2019-12-04,339.2
2019-12-05,332.9
2019-12-06,330.6
2019-12-08,289.3
2019-12-09,303.8
2019-12-10,296.7
2019-12-11,296.1
2019-12-12,302.7
2019-12-13,303.5
2019-12-14,296.5
2019-12-15,304.3
2019-12-16,310.0
2019-12-17,311.9
2019-12-18,315.1
2019-12-19,324.0
2019-12-20,307.8
2019-12-21,296.6
2019-12-22,258.0
2019-12-23,274.8
2019-12-24,278.4
2019-12-25,287.5
2019-12-26,283.2
2019-12-27,256.1
2019-12-28,223.8
2019-12-29,318.2
2019-12-30,329.9
2019-12-31,313.2
2020-01-01,289.2
2020-01-02,291.4
2020-01-03,288.8
2020-01-04,262.3
2020-01-05,328.5
2020-01-13,326.4
2020-01-14,333.6
2020-01-15,340.6
2020-01-16,341.5
2020-01-17,339.2
2020-01-18,311.7
2020-01-19,336.8
2020-01-20,338.4
