ds,y
2019-01-02,313.9
2019-01-03,311.8
2019-01-04,320.7
2019-01-05,299.0
2019-01-06,286.8
2019-01-07,294.2
2019-01-08,289.4
2019-01-09,258.6
2019-01-10,284.2
2019-01-11,281.4
2019-01-12,298.6
2019-01-13,310.0
2019-01-14,319.5
2019-01-15,326.7
2019-01-16,399.0
2019-01-17,412.5
2019-01-18,426.0
2019-01-19,437.9
2019-01-20,428.3
2019-01-21,407.9
2019-01-22,417.1
2019-01-23,395.8
2019-01-24,410.9
2019-01-25,408.7
2019-01-26,373.4
2019-01-27,341.6
2019-01-28,393.3
2019-01-29,365.3
2019-01-30,220.4
2019-01-31,220.8
2019-02-02,234.8
2019-02-03,241.2
2019-02-04,246.2
2019-02-05,241.2
2019-02-06,241.3
2019-02-07,260.1
2019-02-08,262.8
2019-02-09,268.2
2019-02-10,273.2
2019-02-11,276.9
2019-02-12,281.4
2019-02-13,268.8
2019-02-14,261.4
2019-02-15,264.7
2019-02-16,272.5
2019-02-17,272.5
2019-02-18,268.0
2019-02-19,270.0
2019-02-20,264.3
2019-02-21,428.2
2019-02-22,435.6
2019-02-23,444.4
2019-02-24,469.0
2019-02-25,445.2
2019-02-26,438.9
2019-02-27,439.0
2019-02-28,281.2
2019-03-02,270.4
2019-03-03,271.8
2019-03-04,271.2
2019-03-05,282.1
2019-03-06,276.9
2019-03-07,276.8
2019-03-08,362.8
2019-03-09,405.5
2019-03-10,429.1
2019-03-11,430.6
2019-03-12,431.3
2019-03-13,439.7
2019-03-14,409.2
2019-03-15,235.1
2019-03-16,222.1
2019-03-17,249.0
2019-03-18,276.4
2019-03-19,287.7
2019-03-20,268.6
2019-03-21,287.1
2019-03-22,260.8
2019-03-23,258.2
2019-03-24,258.4
2019-03-25,238.2
2019-03-26,236.2
2019-03-27,240.5
2019-03-28,232.6
2019-03-29,291.7
2019-03-30,279.4
2019-03-31,297.6
2019-04-02,308.6
2019-04-03,317.9
2019-04-04,320.0
2019-04-05,292.2
2019-04-06,261.4
2019-04-07,259.6
2019-04-08,241.9
2019-04-09,241.9
2019-04-10,268.0
2019-04-11,258.0
2019-04-12,230.0
2019-04-13,383.0
2019-04-14,407.9
2019-04-15,416.9
2019-04-16,435.1
2019-04-17,446.8
2019-04-18,452.6
2019-04-19,445.1
2019-04-20,259.9
2019-04-21,250.0
2019-04-22,257.7
2019-04-23,250.6
2019-04-24,274.9
2019-04-25,247.3
2019-04-26,215.8
2019-04-27,280.7
2019-04-28,276.6
2019-04-29,277.3
2019-04-30,293.2
2019-05-02,304.8
2019-05-03,297.0
2019-05-04,308.0
2019-05-05,326.9
2019-05-06,328.4
2019-05-07,335.1
2019-05-08,301.8
2019-05-09,276.3
2019-05-10,261.3
2019-05-11,244.4
2019-05-12,422.1
2019-05-13,428.8
2019-05-14,406.8
2019-05-15,372.2
2019-05-16,357.5
2019-05-17,359.1
2019-05-18,364.1
2019-05-19,342.3
2019-05-20,362.0
2019-05-21,380.7
2019-05-22,387.1
2019-05-23,387.1
2019-05-24,364.0
2019-05-25,358.7
2019-05-26,240.8
2019-05-27,247.4
2019-05-28,241.6
