ds,yhat,yhat_lower,yhat_upper
2020-12-06,3625.425044756182,3284.3937694671804,3985.455441848763
2020-12-07,3629.436399378596,3295.671568945597,3958.5656431931743
2020-12-08,3628.084248736929,3267.0389116732513,4003.480425168571
2020-12-09,3603.630098687352,3280.201603681295,3914.9073540115373
2020-12-10,3600.4185888058287,3250.7070221097724,3928.5648296802
2020-12-11,3605.0489735279702,3271.693050705946,3938.40070088526
2020-12-12,3575.67573139111,3224.331375803976,3904.210642608139
2020-12-13,3579.3419395575793,3249.3153296723935,3911.1263076570576
2020-12-14,3577.0825537095616,3238.99764036258,3944.3240849500944
2020-12-15,3569.887821810367,3231.0115381496257,3923.162762877515
2020-12-16,3540.058563396536,3196.265093269477,3871.723632167552
2020-12-17,3531.9973051426778,3183.992619810737,3861.2068827488365
2020-12-18,3532.379326547762,3205.487583598152,3886.165358937254
2020-12-19,3499.451581057652,3135.475540893092,3842.4214726834257
2020-12-20,3500.363166585953,3167.5674269833567,3830.4010902626155
2020-12-21,3496.264573812179,3164.4700858953806,3819.3039108427674
2020-12-22,3488.2660779830107,3142.230467191646,3824.319474045128
2020-12-23,3458.787187733089,3097.4354593615244,3800.2498790097893
2020-12-24,3452.341362136808,3113.6964265763563,3772.5139068253575
2020-12-25,3321.1358474800786,2971.7746301055927,3679.2414700103423
2020-12-26,3427.1860512351386,3094.0546489655926,3765.22395721706
2020-12-27,3433.9948800192105,3102.5138117997094,3772.485622664674
2020-12-28,3437.2904497276368,3091.081894400286,3755.8423946648254
2020-12-29,3438.156924893136,3105.3271062974413,3782.3579020675506
2020-12-30,3418.9441980746233,3076.501034534686,3733.723949633546
2020-12-31,3424.0496770419472,3102.9233704242565,3751.775964899581
2021-01-01,3440.0811360530533,3122.8528804214056,3770.823179664368
2021-01-02,3425.1490214240557,3068.242907333767,3738.4524550575584
2021-01-03,3446.192270268744,3105.514952358367,3799.46569388012
2021-01-04,3464.075200275661,3111.972169082194,3792.615630381064
2021-01-05,3479.5460964457743,3134.939568865213,3815.968054001862
2021-01-06,3474.5895873878717,3165.4482804760787,3785.689985891894
2021-01-07,3493.2171110255017,3176.2186382036857,3851.4562461749456
2021-01-08,3521.6397669512203,3169.2534595774364,3856.093530621379
2021-01-09,3517.5716863654716,3174.777880583347,3859.851892895042
2021-01-10,3547.567671797269,3227.1658546705908,3894.6141139158585
2021-01-11,3572.1323189255045,3249.215367736462,3932.9163085281893
2021-01-12,3591.690872039909,3249.7682376576267,3932.335814881338
2021-01-13,3587.9535137911544,3257.132246165086,3928.500370038838
2021-01-14,3604.716991686883,3260.543915847231,3946.060191640254
2021-01-15,3628.0474883735324,3270.6929699619577,3963.411963325241
2021-01-16,3615.5924963936473,3246.6390749117527,3952.289198430153
2021-01-17,3633.9251117832614,3303.2562884442023,3985.3811385844915
2021-01-18,3643.6576651864452,3311.5046010934857,3964.125253133936
2021-01-19,3645.4147032753526,3295.467758311443,3990.615374296441
2021-01-20,3621.196846534215,3279.3212962182765,3964.9740559158477
2021-01-21,3615.1793229442437,3274.434997572978,3946.7406562694937
2021-01-22,3613.8890588451623,3286.1103755286945,3948.6791947823494
